"","name","sex","event","equipment","age","age_class","division","bodyweight_kg","weight_class_kg","best3squat_kg","best3bench_kg","best3deadlift_kg","place","date","federation","meet_name"
"23","Regina Hackney","F","SBD","Single-ply",67.5,"65-69","Masters 2",78.3,"82.5",107.5,67.5,122.5,"2","2007-06-10","IPF","World Masters Powerlifting Championships"
"24","Levi Goolesby","M","SBD","Single-ply",16.5,"16-17","Sub-Juniors",52.91,"53",182.5,112.5,160,"3","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"25","Patrick Anderson","M","SBD","Single-ply",43.5,"40-44","Masters 1",132.4,"120+",340,247.5,235,"3","2015-09-28","IPF","World Masters Powerlifting Championships"
"26","Robert Øren","M","SBD","Single-ply",46.5,"45-49","Masters 1",109.4,"110",260,180,265,"6","1997-10-14","IPF","World Masters Powerlifting Championships"
"27","Oleksiy Tarasenko","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",58.71,"59",212.5,132.5,217.5,"1","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"28","Misaki Arimoto","F","SBD","Single-ply",18.5,"18-19","Juniors",54.91,"57",147.5,87.5,125,"5","2011-08-30","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"29","Lepeka Nanai","M","SBD","Raw",33.5,"24-34","Open",119.65,"120",235,180,272.5,"16","2013-06-11","IPF","World Classic Powerlifting Championships"
"30","You-Si Jhang","M","SBD","Single-ply",19.5,"20-23","Open",82.78,"83",270,170,332.5,"8","2014-11-03","IPF","World Powerlifting Championships"
"31","Ivan Podrez","M","SBD","Raw",21.5,"20-23","Juniors",154.95,"120+",295,205,285,"1","2013-06-11","IPF","World Classic Powerlifting Championships"
"32","Seija Turunen","F","SBD","Single-ply",57.5,"55-59","Masters 2",47.85,"48",85,63,100,"2","2005-10-04","IPF","World Masters Powerlifting Championships"
"33","Cezar Suarez","M","SBD","Single-ply",16.5,"16-17","Sub-Juniors",74.4,"75",212.5,120,220,"6","2009-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"34","Ty Scratch","M","SBD","Raw",21.5,"20-23","Juniors",142.91,"120+",340,227.5,320,"3","2018-06-06","IPF","6th World Classic Championships"
"35","Maliek Derstine","M","SBD","Single-ply",25,"24-34","Middle",75.69,"83",295,220,305,"7","2013-07-30","IPF","World Games"
"36","Walter Thomas","M","SBD","Single-ply",33,"24-34","Open",82.1,"82.5",317.5,195,300,"2","1979-11-02","IPF","Men's World Powerlifting Championships"
"37","Satya Prakash","M","SBD","Single-ply",49.5,"45-49","Masters 2",102.8,"110",190,120,160,"6","2008-09-30","IPF","World Masters Powerlifting Championships"
"38","Johnny Graham","M","SBD","Single-ply",52,"50-54","Masters 2",107.9,"110",295,165,285,"1","2004-10-05","IPF","World Masters Powerlifting Championships"
"39","Chen-Yeh Chao","F","SBD","Single-ply",29,"24-34","Open",113,"90+",260,170,215,"1","2001-05-24","IPF","Women's World Powerlifting Championships"
"40","Quamecca Stafford","F","SBD","Single-ply",14.5,"13-15","Sub-Juniors",49.45,"52",135,75,145,"2","2018-09-03","IPF","World Juniors & Sub-Juniors Championships"
"41","Satoshi Matsubara","M","SBD","Single-ply",20.5,"20-23","Juniors",89.1,"90",220,175,260,"9","1993-10-29","IPF","World Juniors Powerlifting Championships"
"42","Dean Bowring","M","SBD","Single-ply",31.5,"24-34","Open",124.45,"125",355,287.5,345,"5","2006-11-05","IPF","World Powerlifting Championships"
"43","Vuokko Viitasaari","F","SBD","Single-ply",42.5,"40-44","Open",46.9,"48",132.5,80,160,"3","1997-06-18","IPF","Women's World Powerlifting Championships"
"44","Svetlana Tesleva","F","SBD","Single-ply",19.5,"20-23","Juniors",43.3,"44",135,72.5,150.5,"1","1995-07-23","IPF","World Juniors Powerlifting Championships"
"45","Andreas Hjelmtveit","M","SBD","Single-ply",20,"20-23","Juniors",99.85,"100",337.5,185,342.5,"3","2004-08-09","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"46","Anna Edvall","F","SBD","Single-ply",39.5,"35-39","Masters 1",83.06,"84",165,130,162.5,"3","2016-10-03","IPF","World Masters Championships"
"47","Aaron Ziffle","M","SBD","Single-ply",35.5,"35-39","Open",92.77,"93",307.5,230,250,"8","2017-11-13","IPF","World Powerlifting Championships"
"48","María Guðsteinsdóttir","F","SBD","Single-ply",41.5,"40-44","Open",62.8,"63",172.5,97.5,180,"11","2012-11-10","IPF","World Powerlifting Championships"
"49","Steve Lumpee #1","M","SBD","Single-ply",22.5,"20-23","Juniors",94.4,"100",287.5,180,310,"3","1985-09-20","IPF","World Juniors Powerlifting Championships"
"50","Paul Trujillo","M","SBD","Single-ply",53,"50-54","Masters 2",56,"56",142.5,92.5,170,"4","1988-07-28","IPF","World Masters Powerlifting Championships"
"51","David Ricks","M","SBD","Single-ply",46,"45-49","Open",81.4,"82.5",317.5,215,317.5,"3","2005-11-08","IPF","Men's World Powerlifting Championships"
"52","Mathias Schröder","M","SBD","Single-ply",26.5,"24-34","Open",116.4,"125",315,247.5,332.5,"9","2003-11-04","IPF","Men's World Powerlifting Championships"
"53","Francis Rousseau","M","SBD","Single-ply",42.5,"40-44","Masters 1",123.31,"120+",355,282.5,285,"1","2013-09-24","IPF","World Masters Powerlifting Championships"
"54","Andriy Naniev","M","SBD","Single-ply",27.5,"24-34","Open",82.32,"83",360,247.5,307.5,"2","2012-11-10","IPF","World Powerlifting Championships"
"55","Stephen Nas","M","SBD","Single-ply",35.5,"35-39","Open",88.3,"90",252.5,165,265,"26","1999-11-17","IPF","Men's World Powerlifting Championships"
"56","Cathleen Marksteiner","F","SBD","Single-ply",59.5,"55-59","Masters 3",63.3,"72",95,75,140,"1","2018-10-02","IPF","World Masters Powerlifting Championships"
"57","Heino Maiste","M","SBD","Single-ply",60.5,"60-64","Masters 3",74.75,"75",195,110,232.5,"3","2010-09-27","IPF","World Masters Championships"
"58","Jennifer Newton","F","SBD","Raw",20.5,"20-23","Open",61.38,"63",100,55,135,"9","2016-07-11","IPF","World University Powerlifting Cup"
"59","Raymond Curtis","M","SBD","Single-ply",82.5,"80-999","Masters 4",96.06,"105",102.5,102.5,152.5,"3","2015-09-28","IPF","World Masters Powerlifting Championships"
"60","Mohantu Ranu","F","SBD","Single-ply",22.5,"20-23","Open",65.85,"67.5",180,77.5,187.5,"7","2005-05-26","IPF","Women's World Powerlifting Championships"
"61","Katsunori Kawahata","M","SBD","Raw",44.5,"40-44","Masters 1",73.14,"74",160,160,200,"10","2017-06-14","IPF","World Classic Powerlifting Championships"
"62","Tero Seppänen","M","SBD","Raw",42.5,"40-44","Masters 1",131.47,"120+",295,236,317.5,"2","2015-06-05","IPF","World Classic Powerlifting Championships"
"63","Zoltán Kanát","M","SBD","Raw",56.5,"55-59","Masters 2",114.8,"120",272.5,167.5,270,"2","2019-06-04","IPF","World Classic Powerlifting Championships"
"64","Veronika Schulze","F","SBD","Raw",20.5,"20-23","Juniors",55.37,"57",135,75,152.5,"5","2018-06-06","IPF","6th World Classic Championships"
"65","Dina Lorentzen","F","SBD","Raw",19.5,"20-23","Juniors",70.8,"72",145,92.5,172.5,"13","2019-06-04","IPF","World Classic Powerlifting Championships"
"66","Charles Conner","M","SBD","Single-ply",22.5,"20-23","Juniors",82.54,"83",290,240,275,"3","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"67","André Peeters","M","SBD","Single-ply",37.5,"35-39","Open",97.8,"100",325,200,320,"9","2001-11-15","IPF","Men's World Powerlifting Championships"
"68","Emil Alin","M","SBD","Single-ply",80.5,"80-999","Masters 4",111.78,"120",160,132.5,200,"1","2017-10-01","IPF","World Masters Powerlifting Championships"
"69","Azusa Takano","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",72,"75",140,80,132.5,"3","2009-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"70","Henrique Leite","M","SBD","Single-ply",24.5,"24-34","Open",67.04,"67.5",230,155,235,"8","2008-10-30","IPF","World Powerlifting Championships"
"71","Nirmaljeet Singh","M","SBD","Single-ply",41.5,"40-44","Masters 1",102.6,"110",285,160,295,"DD","1998-10-06","IPF","World Masters Powerlifting Championships"
"72","Nick Shotton-Gale","M","SBD","Single-ply",22.5,"20-23","Juniors",81.54,"82.5",205,137.5,200,"13","2008-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"73","Inna Filimonova #2","F","SBD","Single-ply",15.5,"16-17","Sub-Juniors",52.4,"56",167.5,100,100,"2","2010-09-27","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"74","Linda Diewald","F","SBD","Single-ply",28.5,"24-34","Open",59.6,"60",160,72.5,170,"4","1991-06-23","IPF","Women's World Powerlifting Championships"
"75","Myriam Busselot","F","SBD","Single-ply",40.5,"40-44","Open",71.1,"75",187.5,95,195,"3","1993-11-27","IPF","World Powerlifting Championships"
"76","Pavol Demčák","M","SBD","Raw",40.5,"40-44","Masters 1",118.45,"120",290,217.5,295,"3","2018-06-06","IPF","6th World Classic Championships"
"77","Larysa Soloviova","F","SBD","Single-ply",39.5,"35-39","Open",62.85,"63",237.5,180.5,225,"1","2018-11-05","IPF","48th World Open Championships"
"78","Alex Ochoa","M","SBD","Single-ply",26.5,"24-34","Open",72.37,"74",300,205,275,"6","2017-11-13","IPF","World Powerlifting Championships"
"79","Tibor Maczak","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",80.75,"82.5",180,157.5,190,"13","2007-09-03","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"80","Leslie Kiletico","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",46.9,"48",100,50,112.5,"5","2002-09-25","IPF","World Sub-Juniors Powerlifting Championships"
"81","Yvonne Sinclair","F","SBD","Raw",67,"65-69","Masters 3",74.78,"84",105,52.5,140,"3","2018-06-06","IPF","6th World Classic Championships"
"82","Nadezhda Mir","F","SBD","Single-ply",24.5,"24-34","Open",51.2,"52",157.5,80,180,"1","1995-05-05","IPF","Women's World Powerlifting Championships"
"83","Evaldas Paplauskas","M","SBD","Single-ply",21.5,"20-23","Juniors",74.3,"75",240,197.5,240,"5","2006-09-05","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"84","Amrik Singh","M","SBD","Single-ply",61.5,"60-64","Masters 3",73.6,"75",175,117.5,202.5,"6","2007-06-10","IPF","World Masters Powerlifting Championships"
"85","Cathar Haraldsson","F","SBD","Single-ply",33.5,"24-34","Open",78.2,"82.5",177.5,102.5,195,"5","1998-05-23","IPF","Women's World Powerlifting Championships"
"86","Jarkko Makkonen","M","SBD","Single-ply",21.5,"20-23","Juniors",100,"100",300,185,270,"3","1990-09-20","IPF","World Juniors Powerlifting Championships"
"87","Boris Komissarov","M","SBD","Raw",18.5,"18-19","Juniors",57.54,"59",190,140,200,"1","2017-06-14","IPF","World Classic Powerlifting Championships"
"88","Ladislav Strache","M","SBD","Single-ply",22.5,"20-23","Open",74.9,"75",230,170,260,"13","1997-12-13","IPF","Men's World Powerlifting Championships"
"89","Anthony Harris #1","M","SBD","Single-ply",43.5,"40-44","Masters 1",112.8,"125",385,220,355,"1","2008-09-30","IPF","World Masters Powerlifting Championships"
"90","Natalya Payusova","F","SBD","Single-ply",19.5,"20-23","Juniors",73.9,"75",175,120,175,"1","1995-07-23","IPF","World Juniors Powerlifting Championships"
"91","Nikolay Volkov","M","SBD","Raw",63.5,"60-64","Masters 3",81.76,"83",170,147.5,170,"7","2015-06-05","IPF","World Classic Powerlifting Championships"
"92","Anna-Maija Honka","F","SBD","Single-ply",36.5,"35-39","Open",47.4,"48",120,60,135,"9","1988-05-06","IPF","Women's World Powerlifting Championships"
"93","Zhanna Ivanova","F","SBD","Single-ply",16.5,"16-17","Sub-Juniors",60.5,"67.5",187.5,90,170,"2","2001-09-16","IPF","World Sub-Juniors Powerlifting Championships"
"94","Toni Väisänen","M","SBD","Single-ply",22.5,"20-23","Juniors",73.4,"74",270,160,272.5,"4","2014-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"95","Madoka Nishihara","F","SBD","Single-ply",19.5,"20-23","Juniors",51.66,"52",135,67.5,112.5,"5","2013-08-27","IPF","World Juniors & Sub-Juniors Championships"
"96","Gilbert Arriaga","M","SBD","Single-ply",16.5,"16-17","Sub-Juniors",104.57,"105",295,185,277.5,"1","2019-08-26","IPF","World Juniors & Sub-Juniors Championships"
"97","Thiago Hadad","M","SBD","Single-ply",22.5,"20-23","Juniors",198.1,"125+",350,250,260,"7","2009-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"98","Anita Koykka","F","SBD","Single-ply",49,"45-49","Masters 1",51.7,"52",140,70,150,"2","2009-09-28","IPF","World Masters Powerlifting Championships"
"99","Chuing-Hsueh Hsu","F","SBD","Single-ply",18.5,"18-19","Juniors",77.1,"82.5",170,72.5,170,"5","1993-10-29","IPF","World Juniors Powerlifting Championships"
"100","Daniel Reybrouck","M","SBD","Single-ply",44.5,"40-44","Masters 1",75,"75",212.5,130,195,"6","1987-09-08","IPF","World Masters Powerlifting Championships"
"101","Svetla Tolmacheva","F","SBD","Single-ply",24.5,"24-34","Open",88.3,"90",170,90,170,"1","2002-04-12","IPF","World Students Cup"
"102","Lynda Whitehead","F","SBD","Raw",50.5,"50-54","Masters 2",76.2,"84",132.5,75,160,"4","2016-06-19","IPF","World Classic Powerlifting Championships"
"103","Timur Sattarov","M","SBD","Raw",30.5,"24-34","Open",96.35,"105",220,207.5,180,"17","2013-06-11","IPF","World Classic Powerlifting Championships"
"104","Michael Tuchscherer","M","SBD","Single-ply",20,"20-23","Juniors",120.27,"125",340,260,312.5,"3","2005-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"105","Judith Reitmann","F","SBD","Single-ply",44.5,"40-44","Open",86.78,"84+",222.5,125,180,"7","2012-11-10","IPF","World Powerlifting Championships"
"106","Leonid Emelyanov","M","SBD","Single-ply",49.5,"45-49","Masters 2",127.77,"125+",235,160,232.5,"3","1999-10-19","IPF","World Masters Powerlifting Championships"
"107","Luca Toso","M","SBD","Single-ply",26.5,"24-34","Open",78.5,"82.5",260,157.5,285,"17","1999-11-17","IPF","Men's World Powerlifting Championships"
"108","Hesterki Range","F","SBD","Single-ply",42.5,"40-44","Open",58.56,"60",115,65,147.5,"11","2010-11-07","IPF","World Powerlifting Championships"
"109","Odette Michaud","F","SBD","Single-ply",48,"45-49","Masters 1",39.68,"47",90,35,125,"4","2011-09-26","IPF","World Masters Powerlifting Championships"
"110","Teiji Morishita","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",66.1,"67.5",220,127.5,200,"5","2006-09-05","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"111","Shoko Tanaka","F","SBD","Single-ply",45,"45-49","Open",47.4,"48",130,75,125,"5","2009-11-02","IPF","World Powerlifting Championships"
"112","Pavlo Nakonechnyy","M","SBD","Raw",19,"18-19","Juniors",157.62,"120+",320,205,355.5,"1","2017-06-14","IPF","World Classic Powerlifting Championships"
"113","Yoshikazu Kondoh","M","SBD","Single-ply",41.5,"40-44","Masters 1",97.8,"100",275,190,250,"4","1999-10-19","IPF","World Masters Powerlifting Championships"
"114","Stina Sundling","F","SBD","Raw",52.5,"50-54","Masters 2",70.73,"72",105,65,130,"6","2017-06-14","IPF","World Classic Powerlifting Championships"
"115","Oleksiy Solovyov","M","SBD","Single-ply",22,"20-23","Juniors",98.2,"100",360,242.5,310,"1","1997-09-12","IPF","World Juniors Powerlifting Championships"
"116","Silvia Rodrigez","F","SBD","Single-ply",27.5,"24-34","Open",43.35,"44",100,50,115,"7","1993-11-27","IPF","World Powerlifting Championships"
"117","Mitsuru Osawa","M","SBD","Single-ply",72.5,"70-74","Masters 4",73.32,"74",185,112.5,185,"1","2014-09-21","IPF","World Masters Powerlifting Championships"
"118","Nick Laznovsky","M","SBD","Single-ply",17,"16-17","Sub-Juniors",58.6,"60",215,102.5,220,"2","2009-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"119","Noriano Coppari","M","SBD","Single-ply",45.5,"45-49","Masters 1",73.8,"75",215,145,260,"7","1997-10-14","IPF","World Masters Powerlifting Championships"
"120","Reni Kelly","F","SBD","Single-ply",17.5,"18-19","Juniors",55.3,"56",132.5,65,142.5,"6","1995-07-23","IPF","World Juniors Powerlifting Championships"
"121","Raimo Sandelin","M","SBD","Single-ply",72.5,"70-74","Masters 4",121.6,"120+",115,100,160,"1","2013-09-24","IPF","World Masters Powerlifting Championships"
"122","Deri Lewis","M","SBD","Single-ply",50.5,"50-54","Masters 2",100,"100",220,135,250,"4","1988-07-28","IPF","World Masters Powerlifting Championships"
"123","Anthony Costarigot","M","SBD","Raw",20.5,"20-23","Open",73.55,"74",202.5,167.5,205,"7","2019-07-22","IPF","University Powerlifting Cup"
"124","Vuokko Viitasaari","F","SBD","Single-ply",40.5,"40-44","Open",47.8,"48",145,77.5,157.5,"3","1995-05-05","IPF","Women's World Powerlifting Championships"
"125","Kazunori Sato","M","SBD","Single-ply",50.5,"50-54","Masters 2",90.84,"93",255,235,255,"1","2012-10-02","IPF","World Masters Powerlifting Championships"
"126","Priscilla Ribic","F","SBD","Single-ply",39,"35-39","Open",71.19,"72",225,125,247.5,"3","2012-11-10","IPF","World Powerlifting Championships"
"127","Malin Eriksson","F","SBD","Single-ply",24.5,"24-34","Open",80.6,"82.5",215,122.5,200,"5","2005-05-26","IPF","Women's World Powerlifting Championships"
"128","Efim Naniev","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",89.4,"90",275,172.5,287.5,"1","2006-09-05","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"129","Pardeep Kailey","M","SBD","Single-ply",25.5,"24-34","Open",74.66,"75",245,157.5,250,"13","2009-11-02","IPF","World Powerlifting Championships"
"130","Aleksand Kluschev","M","SBD","Single-ply",19.5,"20-23","Open",113.4,"125",362.5,210,360.5,"1","2003-04-12","IPF","World Students Cup"
"131","Irina Lugovaya","F","SBD","Single-ply",28.5,"24-34","Open",89.2,"90",250,165,250,"1","2003-05-22","IPF","Women's World Powerlifting Championships"
"132","Mario Schnurr","M","SBD","Single-ply",46.5,"45-49","Masters 1",88.7,"90",290,172.5,280,"4","2007-06-10","IPF","World Masters Powerlifting Championships"
"133","Mike Jackson","M","SBD","Single-ply",21.5,"20-23","Juniors",94.5,"100",305,177.5,285,"5","1996-08-07","IPF","World Juniors Powerlifting Championships"
"134","Anna Ryzhkova","F","SBD","Single-ply",31.5,"24-34","Open",56.8,"57",215,137.5,197.5,"2","2018-11-05","IPF","48th World Open Championships"
"135","Wendy Hartman","F","SBD","Single-ply",19.5,"20-23","Juniors",59.9,"60",130,65,145,"8","1996-08-07","IPF","World Juniors Powerlifting Championships"
"136","Natalie Janot","F","SBD","Single-ply",22.5,"20-23","Open",43.7,"44",122.5,67.5,145,"2","1992-05-31","IPF","Women's World Powerlifting Championships"
"137","Wei-Jung Tseng","F","SBD","Single-ply",23.5,"24-34","Heavy",73.55,"75",212.5,105,212.5,"7","2009-07-25","IPF","World Games"
"138","Unto Lehtinen","M","SBD","Single-ply",50.5,"50-54","Masters 2",88.7,"90",210,127.5,250,"5","1993-10-26","IPF","World Masters Powerlifting Championships"
"139","Joshua Tan","M","SBD","Raw",14.5,"13-15","Sub-Juniors",116.8,"120",212.5,112.5,220,"9","2019-06-04","IPF","World Classic Powerlifting Championships"
"140","Julio Lezama","M","SBD","Single-ply",49.5,"45-49","Masters 2",101,"110",245,155,260,"4","1999-10-19","IPF","World Masters Powerlifting Championships"
"141","Joseph Cappellino","M","SBD","Single-ply",27,"24-34","Open",170.52,"120+",447.5,337.5,362.5,"3","2015-11-09","IPF","World Powerlifting Championships"
"142","Kateryna Klymenko","F","SBD","Single-ply",27.5,"24-34","Open",51.98,"52",192.5,120,170,"4","2013-11-04","IPF","World Powerlifting Championships"
"143","Svetlana Dedyulya","F","SBD","Single-ply",34.5,"24-34","Open",82.38,"82.5",255,165,220,"2","2010-11-07","IPF","World Powerlifting Championships"
"144","Abigail McLean","F","SBD","Raw",16.5,"16-17","Sub-Juniors",78.83,"84",127.5,70,172.5,"4","2015-06-05","IPF","World Classic Powerlifting Championships"
"145","Erwin Krokkee","M","SBD","Single-ply",28.5,"24-34","Open",82.4,"82.5",282.5,190,265,"9","1995-11-15","IPF","Men's World Powerlifting Championships"
"146","Jeannette Gevers","F","SBD","Single-ply",43.5,"40-44","Masters 1",55.8,"56",155,80,142.5,"1","2006-10-02","IPF","World Masters Powerlifting Championships"
"147","Isobel Davis","F","SBD","Raw",21.5,"20-23","Open",61.19,"63",107.5,65,142.5,"10","2019-07-22","IPF","University Powerlifting Cup"
"148","Shyami Murphy","F","SBD","Raw",49.5,"45-49","Masters 2",46.24,"47",97.5,40,105,"3","2016-06-19","IPF","World Classic Powerlifting Championships"
"149","Mervi Sirkiä","F","SBD","Single-ply",29.5,"24-34","Open",52,"52",152.5,90,172.5,"4","2002-05-29","IPF","Women's World Powerlifting Championships"
"150","Raivis Širaks","M","SBD","Single-ply",25.5,"24-34","Open",88.6,"90",265,175,280,"3","2001-04-22","IPF","Student's World Cup"
"151","Kojo Gyennin","M","SBD","Raw",39.5,"35-39","Masters 1",73.35,"74",235,142.5,287.5,"1","2019-06-04","IPF","World Classic Powerlifting Championships"
"152","Anastasia Ivacheva","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",56.65,"57",152.5,75,145,"3","2018-09-03","IPF","World Juniors & Sub-Juniors Championships"
"153","Jarkko Perttula","M","SBD","Single-ply",16.5,"16-17","Sub-Juniors",81.8,"82.5",235,140,232.5,"5","2010-09-27","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"154","Karen Hesthammer","F","SBD","Single-ply",22.5,"20-23","Juniors",51.92,"52",188,110,177.5,"2","2017-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"155","John Fraser","M","SBD","Single-ply",55.5,"55-59","Masters 2",86.5,"93",215,155,232.5,"6","2012-10-02","IPF","World Masters Powerlifting Championships"
"156","Anastasiia Minaeva","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",83,"84",202.5,117.5,160,"1","2016-09-03","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"157","Caroline Stougaard","F","SBD","Raw",27.5,"24-34","Open",109.9,"84+",195,102.5,195,"8","2019-06-04","IPF","World Classic Powerlifting Championships"
"158","Zoltan Herczeg","M","SBD","Single-ply",20.5,"20-23","Juniors",125.9,"125+",260,190,230,"8","2007-09-03","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"159","Fredrik Svensson","M","SBD","Single-ply",25.5,"24-34","Heavy",151.2,"90+",352.5,312.5,310,"7","2005-07-14","IPF","World Games"
"160","Derek Allen","M","SBD","Single-ply",40.5,"40-44","Masters 1",89.3,"90",225,135,222.5,"11","1999-10-19","IPF","World Masters Powerlifting Championships"
"161","Klaudia Poszwa","F","SBD","Raw",16.5,"16-17","Sub-Juniors",46.6,"47",97.5,42.5,120,"3","2017-06-14","IPF","World Classic Powerlifting Championships"
"162","Rekha Mal","F","SBD","Single-ply",16.5,"16-17","Open",48,"48",95,37.5,110,"8","1984-05-19","IPF","Women's World Powerlifting Championships"
"163","Jean-Paul Belmas","M","SBD","Single-ply",60.5,"60-64","Masters 3",98.65,"100",232.5,130,240,"3","2010-09-27","IPF","World Masters Championships"
"164","Detlef Glohmann","M","SBD","Single-ply",37.5,"35-39","Open",127.2,"125+",375,210,355,"2","1992-11-19","IPF","World Men's Powerlifting Championship"
"165","Misato Okamura","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",50.2,"52",85,45,100,"4","2006-09-05","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"166","Håkan Persson","M","SBD","Single-ply",41.5,"40-44","Masters 1",109.5,"110",292.5,220,270,"2","2009-09-28","IPF","World Masters Powerlifting Championships"
