"id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Satisfaction"
92299,"Male","Loyal Customer",53,"Business travel","Business",2556,3,3,3,3,3,5,5,3,3,2,3,3,3,5,64,51,"satisfied"
10664,"Male","disloyal Customer",24,"Business travel","Eco",482,4,3,4,2,2,4,2,2,4,3,4,4,4,2,0,0,"satisfied"
52121,"Female","Loyal Customer",14,"Business travel","Eco Plus",639,2,1,5,1,2,2,3,2,3,2,4,4,4,2,0,0,"dissatisfied"
118059,"Male","Loyal Customer",53,"Business travel","Business",3289,5,5,5,5,5,3,5,5,5,5,5,4,5,1,2,0,"satisfied"
11029,"Male","Loyal Customer",33,"Business travel","Business",201,2,2,2,2,5,5,3,5,2,5,5,5,1,5,0,0,"satisfied"
53214,"Male","disloyal Customer",28,"Business travel","Eco",612,4,3,4,4,3,4,3,3,4,5,4,3,3,3,0,0,"neutral"
100534,"Female","Loyal Customer",13,"Personal Travel","Eco",580,3,3,3,2,2,3,2,2,3,4,5,4,5,2,0,0,"dissatisfied"
37344,"Male","disloyal Customer",35,"Business travel","Business",1144,3,3,3,3,1,3,1,1,2,5,4,3,2,1,0,12,"dissatisfied"
115680,"Male","Loyal Customer",47,"Business travel","Eco",446,3,1,1,1,3,3,3,3,4,5,3,3,4,3,96,91,"dissatisfied"
81290,"Female","Loyal Customer",33,"Personal Travel","Eco",1020,2,5,2,1,2,2,2,2,4,5,3,5,3,2,1,0,"dissatisfied"
71397,"Female","Loyal Customer",58,"Business travel","Business",3810,5,5,5,5,4,5,4,4,4,4,4,5,4,5,8,0,"satisfied"
45137,"Male","Loyal Customer",56,"Business travel","Eco",174,4,3,3,3,4,4,4,4,5,4,1,4,1,4,0,0,"satisfied"
30995,"Male","disloyal Customer",38,"Business travel","Eco",391,5,5,5,1,1,5,1,1,4,2,3,3,2,1,16,15,"satisfied"
74032,"Male","Loyal Customer",65,"Personal Travel","Eco",1471,2,4,2,4,5,2,5,5,3,5,5,5,5,5,0,0,"neutral"
118351,"Female","Loyal Customer",57,"Personal Travel","Eco",639,1,5,1,4,4,5,4,5,5,1,5,4,5,4,23,20,"dissatisfied"
38971,"Female","Loyal Customer",52,"Business travel","Eco",406,2,2,2,2,4,1,3,2,2,2,2,1,2,2,0,42,"satisfied"
76007,"Male","Loyal Customer",59,"Business travel","Business",3149,1,1,1,1,1,4,3,1,1,1,1,4,1,2,3,5,"dissatisfied"
23048,"Male","Loyal Customer",58,"Business travel","Business",3848,1,1,1,1,2,4,5,5,5,5,5,4,5,5,35,23,"satisfied"
113613,"Male","Loyal Customer",13,"Personal Travel","Eco",386,3,3,1,2,5,1,5,5,4,5,4,5,1,5,0,0,"neutral"
87447,"Female","disloyal Customer",42,"Business travel","Business",373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,"neutral"
129692,"Female","Loyal Customer",41,"Business travel","Business",447,1,1,1,1,3,5,5,4,4,4,4,4,4,5,0,0,"satisfied"
5432,"Male","Loyal Customer",76,"Business travel","Business",265,3,4,4,4,3,4,4,3,3,3,3,3,3,1,35,25,"neutral"
4851,"Male","disloyal Customer",61,"Business travel","Business",408,5,5,5,3,2,5,4,2,3,4,4,3,4,2,0,0,"satisfied"
43367,"Male","Loyal Customer",38,"Personal Travel","Eco",436,2,5,2,1,1,2,1,1,3,5,4,4,5,1,2,8,"dissatisfied"
66681,"Female","Loyal Customer",26,"Business travel","Business",802,4,5,5,5,4,4,4,4,4,5,4,2,3,4,1,0,"neutral"
121152,"Female","Loyal Customer",29,"Business travel","Business",2521,2,4,4,4,2,2,2,3,1,2,4,2,2,2,92,136,"dissatisfied"
10081,"Male","Loyal Customer",36,"Personal Travel","Eco",258,4,2,4,3,4,4,2,4,1,1,3,1,2,4,0,0,"dissatisfied"
49030,"Female","Loyal Customer",45,"Business travel","Eco",190,5,5,5,5,2,4,5,5,5,5,5,5,5,1,42,91,"satisfied"
105647,"Female","Loyal Customer",48,"Business travel","Business",787,4,4,4,4,3,5,5,4,4,4,4,4,4,4,21,13,"satisfied"
35667,"Male","Loyal Customer",46,"Business travel","Eco",2465,4,5,5,5,4,4,4,4,5,4,4,4,1,4,0,11,"satisfied"
73705,"Male","disloyal Customer",56,"Business travel","Eco",204,3,1,3,2,2,3,2,2,3,5,1,2,2,2,35,24,"dissatisfied"
14199,"Male","Loyal Customer",18,"Business travel","Eco",692,3,4,4,4,3,3,2,3,3,5,4,3,3,3,9,22,"neutral"
58421,"Female","Loyal Customer",31,"Business travel","Business",1773,1,3,4,3,1,1,1,1,3,3,2,2,2,1,52,48,"neutral"
96882,"Male","Loyal Customer",56,"Personal Travel","Eco",994,3,5,3,3,1,3,1,1,5,3,3,1,2,1,9,0,"dissatisfied"
112528,"Female","Loyal Customer",18,"Personal Travel","Eco",862,2,4,2,4,1,2,1,1,5,3,4,5,5,1,9,1,"neutral"
52147,"Female","disloyal Customer",37,"Business travel","Business",370,2,2,2,3,4,2,4,4,2,4,3,4,4,4,0,2,"dissatisfied"
18675,"Male","Loyal Customer",42,"Personal Travel","Eco",190,1,4,1,2,3,1,3,3,5,4,5,5,5,3,0,0,"neutral"
70242,"Female","Loyal Customer",60,"Business travel","Business",1592,4,4,4,4,3,5,4,5,5,5,5,3,5,5,0,0,"satisfied"
116700,"Male","Loyal Customer",33,"Business travel","Eco Plus",371,2,3,3,3,2,2,2,2,1,4,3,1,3,2,51,67,"dissatisfied"
83716,"Female","Loyal Customer",17,"Business travel","Eco Plus",577,3,4,4,4,3,3,2,3,4,2,3,4,3,3,10,4,"dissatisfied"
98147,"Female","Loyal Customer",52,"Business travel","Business",562,3,3,3,3,5,5,4,5,5,4,5,3,5,3,26,21,"satisfied"
53768,"Male","Loyal Customer",16,"Personal Travel","Eco",1195,4,4,4,3,2,4,2,2,3,2,5,5,5,2,3,0,"dissatisfied"
107676,"Female","Loyal Customer",44,"Business travel","Business",251,3,3,3,3,3,4,4,4,4,4,4,4,4,3,44,36,"satisfied"
1803,"Male","Loyal Customer",55,"Business travel","Business",408,4,4,4,4,3,5,4,4,4,4,4,3,4,5,10,1,"satisfied"
16049,"Male","Loyal Customer",34,"Business travel","Business",3871,5,5,5,5,2,5,3,5,5,5,5,4,5,1,0,0,"satisfied"
109175,"Male","disloyal Customer",21,"Business travel","Eco",793,2,2,2,1,5,2,5,5,4,5,4,5,4,5,14,0,"dissatisfied"
88543,"Female","Loyal Customer",38,"Personal Travel","Eco",404,5,3,5,1,5,5,5,5,1,2,5,3,4,5,0,0,"satisfied"
108279,"Female","Loyal Customer",57,"Personal Travel","Eco",895,2,5,2,3,4,5,5,4,4,2,4,4,4,4,36,15,"neutral"
72788,"Male","disloyal Customer",22,"Business travel","Eco",645,3,0,3,3,1,3,1,1,4,5,1,5,3,1,0,0,"dissatisfied"
96504,"Male","Loyal Customer",53,"Business travel","Eco",444,2,5,2,5,2,2,2,2,2,2,3,1,4,2,0,0,"dissatisfied"
57518,"Female","disloyal Customer",38,"Business travel","Business",413,4,4,4,2,4,4,4,4,3,3,4,3,4,4,0,0,"satisfied"
77292,"Male","disloyal Customer",45,"Business travel","Business",391,2,2,2,3,2,2,1,2,5,2,4,3,5,2,77,77,"dissatisfied"
30220,"Female","Loyal Customer",42,"Business travel","Eco",406,4,2,2,2,5,4,2,4,4,4,4,5,4,5,7,46,"satisfied"
54016,"Female","disloyal Customer",24,"Business travel","Eco",1091,2,2,2,1,3,2,3,3,5,2,3,5,4,3,0,0,"neutral"
35590,"Female","disloyal Customer",23,"Business travel","Eco Plus",950,3,2,3,3,2,3,2,2,4,5,4,2,3,2,0,0,"dissatisfied"
102845,"Female","Loyal Customer",46,"Business travel","Business",423,3,3,3,3,4,5,4,4,4,5,4,5,4,4,7,0,"satisfied"
98878,"Female","disloyal Customer",54,"Business travel","Eco",591,3,1,3,4,5,3,5,5,2,3,3,1,4,5,1,16,"neutral"
79104,"Male","Loyal Customer",34,"Personal Travel","Eco",226,3,4,3,2,1,3,1,1,5,3,3,5,1,1,6,0,"neutral"
87119,"Male","Loyal Customer",62,"Personal Travel","Eco",594,4,2,4,3,4,4,4,4,4,1,3,1,4,4,105,92,"dissatisfied"
109078,"Male","Loyal Customer",44,"Personal Travel","Eco",972,3,5,3,3,2,3,2,2,4,3,5,4,5,2,11,41,"neutral"
74830,"Male","disloyal Customer",44,"Business travel","Business",1797,4,4,4,5,1,4,1,1,3,5,4,5,4,1,0,7,"satisfied"
17066,"Female","Loyal Customer",56,"Business travel","Business",3137,3,3,3,3,5,1,1,5,5,5,5,4,5,4,71,65,"satisfied"
70909,"Female","Loyal Customer",66,"Personal Travel","Eco",1721,1,4,1,3,3,3,1,3,3,1,3,3,3,2,53,55,"dissatisfied"
90066,"Female","disloyal Customer",25,"Business travel","Business",983,3,0,3,2,4,3,4,4,3,4,4,5,5,4,0,0,"dissatisfied"
26549,"Male","Loyal Customer",52,"Personal Travel","Eco",990,2,2,2,4,1,2,1,1,3,1,3,4,4,1,0,0,"dissatisfied"
3029,"Male","Loyal Customer",29,"Personal Travel","Eco",987,1,5,1,2,4,1,1,4,5,1,2,2,3,4,0,3,"neutral"
12729,"Male","Loyal Customer",40,"Personal Travel","Eco",721,5,1,5,3,3,5,3,3,4,2,4,2,4,3,8,0,"satisfied"
74712,"Male","Loyal Customer",30,"Personal Travel","Eco",1235,4,4,4,3,2,4,4,2,5,4,2,5,3,2,0,4,"neutral"
90439,"Male","Loyal Customer",64,"Business travel","Business",404,1,1,1,1,3,4,4,4,4,4,4,5,4,3,0,0,"satisfied"
4283,"Female","Loyal Customer",55,"Personal Travel","Eco",502,2,5,2,4,5,4,4,4,4,2,2,5,4,5,0,8,"dissatisfied"
98976,"Male","Loyal Customer",68,"Personal Travel","Eco",569,2,4,2,3,3,2,3,3,5,5,5,3,4,3,33,28,"dissatisfied"
124747,"Female","disloyal Customer",25,"Business travel","Business",280,4,0,4,2,4,4,5,4,5,3,4,3,5,4,0,0,"satisfied"
120586,"Male","Loyal Customer",49,"Business travel","Eco",980,3,2,2,2,4,3,4,4,4,4,3,2,3,4,76,96,"dissatisfied"
106481,"Female","Loyal Customer",43,"Personal Travel","Eco",1624,3,3,3,3,3,1,3,3,3,3,3,4,3,3,45,55,"dissatisfied"
104392,"Male","Loyal Customer",39,"Business travel","Business",1024,5,5,5,5,5,5,5,5,5,5,5,3,5,4,0,3,"satisfied"
122795,"Female","Loyal Customer",16,"Business travel","Business",599,5,5,4,5,3,3,3,3,5,4,5,4,5,3,0,3,"satisfied"
99428,"Female","Loyal Customer",70,"Personal Travel","Eco",406,2,2,2,4,2,4,4,4,4,2,4,1,4,4,0,9,"neutral"
110067,"Male","Loyal Customer",54,"Business travel","Business",634,4,4,4,4,4,4,5,4,4,4,4,5,4,4,0,0,"satisfied"
2319,"Female","Loyal Customer",27,"Personal Travel","Eco",690,4,5,4,4,2,4,5,2,4,2,4,5,5,2,0,0,"satisfied"
40515,"Female","Loyal Customer",40,"Business travel","Eco Plus",222,4,3,5,3,4,5,4,4,4,2,2,2,5,4,0,0,"satisfied"
20370,"Male","Loyal Customer",16,"Personal Travel","Eco",287,1,5,1,4,1,1,1,1,4,3,5,4,4,1,23,8,"dissatisfied"
18516,"Female","Loyal Customer",26,"Business travel","Eco",190,0,5,0,3,2,0,2,2,1,4,4,2,3,2,0,0,"satisfied"
34848,"Female","Loyal Customer",13,"Personal Travel","Eco Plus",264,2,1,2,3,5,2,5,5,4,2,3,3,2,5,0,0,"dissatisfied"
49364,"Male","Loyal Customer",51,"Business travel","Business",1592,0,5,0,2,3,3,3,2,2,2,2,3,2,1,0,0,"satisfied"
31418,"Male","Loyal Customer",30,"Business travel","Eco",1546,5,5,5,5,5,5,5,5,2,3,2,2,5,5,8,7,"satisfied"
73684,"Female","Loyal Customer",61,"Business travel","Business",192,0,4,0,1,5,4,5,1,1,1,1,5,1,3,0,0,"satisfied"
109359,"Female","Loyal Customer",56,"Business travel","Business",1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,"satisfied"
88614,"Female","Loyal Customer",44,"Personal Travel","Eco",646,2,4,2,4,3,2,2,2,2,2,2,4,2,5,11,24,"dissatisfied"
92005,"Female","Loyal Customer",48,"Business travel","Business",1532,1,1,1,1,5,4,5,5,5,5,5,5,5,5,0,0,"satisfied"
113524,"Female","disloyal Customer",29,"Business travel","Business",197,3,3,3,3,3,3,3,3,4,5,4,3,5,3,0,2,"dissatisfied"
5537,"Female","Loyal Customer",21,"Personal Travel","Eco",431,3,4,3,4,1,3,1,1,3,2,4,5,5,1,0,0,"neutral"
99832,"Female","disloyal Customer",43,"Business travel","Business",587,3,3,3,4,3,3,3,3,3,5,4,4,4,3,0,0,"neutral"
2161,"Female","Loyal Customer",39,"Business travel","Business",1671,1,1,1,1,3,4,4,2,2,2,2,5,2,4,0,0,"satisfied"
56200,"Female","Loyal Customer",16,"Personal Travel","Eco",1400,2,2,2,3,4,2,4,4,2,5,2,4,2,4,0,0,"dissatisfied"
40308,"Male","Loyal Customer",60,"Personal Travel","Eco",387,1,5,1,4,2,1,2,2,1,5,3,1,5,2,0,0,"dissatisfied"
72884,"Female","Loyal Customer",12,"Business travel","Business",2108,5,5,5,5,4,4,4,4,5,5,5,5,5,4,0,0,"satisfied"
3692,"Male","Loyal Customer",37,"Business travel","Business",2327,1,2,2,2,5,4,4,1,1,1,1,3,1,1,53,62,"neutral"
58350,"Male","Loyal Customer",33,"Business travel","Eco Plus",315,0,0,0,2,1,0,1,1,1,1,5,2,4,1,5,3,"satisfied"
26017,"Male","Loyal Customer",37,"Business travel","Eco",425,4,2,3,3,4,4,4,4,1,4,5,5,4,4,0,1,"satisfied"
103576,"Female","Loyal Customer",49,"Personal Travel","Eco",604,1,5,1,4,4,5,5,5,5,1,5,3,5,5,18,0,"dissatisfied"
23347,"Male","Loyal Customer",54,"Business travel","Eco Plus",809,5,4,4,4,5,5,5,5,5,3,2,3,2,5,9,2,"satisfied"
46699,"Male","Loyal Customer",32,"Personal Travel","Eco",125,2,2,2,2,3,2,3,3,4,5,2,4,1,3,8,107,"dissatisfied"
67178,"Female","Loyal Customer",13,"Personal Travel","Eco",1017,4,4,4,3,4,4,4,4,1,5,3,3,3,4,0,0,"neutral"
58322,"Male","disloyal Customer",34,"Business travel","Eco",1170,1,1,1,4,2,1,2,2,4,3,4,4,3,2,0,0,"neutral"
6149,"Male","disloyal Customer",35,"Business travel","Business",409,2,2,2,5,4,2,4,4,4,3,4,5,5,4,0,0,"dissatisfied"
2076,"Female","Loyal Customer",42,"Business travel","Eco",812,5,1,1,1,2,3,2,5,5,5,5,1,5,1,39,32,"satisfied"
49949,"Male","Loyal Customer",65,"Business travel","Eco",153,3,3,3,3,3,3,3,3,1,3,3,1,3,3,19,11,"neutral"
119158,"Female","Loyal Customer",65,"Personal Travel","Business",257,2,3,2,3,1,1,2,5,5,2,3,3,5,5,0,0,"neutral"
25389,"Female","disloyal Customer",21,"Business travel","Eco",191,2,4,2,1,3,2,3,3,2,1,4,4,2,3,4,0,"dissatisfied"
42087,"Male","Loyal Customer",35,"Personal Travel","Eco",344,3,1,3,2,5,3,5,5,1,1,2,1,1,5,0,0,"dissatisfied"
34100,"Male","Loyal Customer",70,"Personal Travel","Business",1189,2,1,2,3,3,2,2,4,4,2,4,2,4,1,0,0,"dissatisfied"
66733,"Male","Loyal Customer",44,"Personal Travel","Eco",802,1,3,1,3,1,1,1,1,3,2,3,1,4,1,0,0,"neutral"
98338,"Female","Loyal Customer",54,"Business travel","Business",1046,4,4,4,4,3,4,5,4,4,4,4,3,4,4,0,0,"satisfied"
126599,"Male","Loyal Customer",59,"Business travel","Business",1337,3,2,2,2,2,4,4,3,3,3,3,4,3,1,0,0,"dissatisfied"
119461,"Male","Loyal Customer",60,"Business travel","Business",2085,5,5,5,5,3,5,4,4,4,4,4,3,4,4,7,0,"satisfied"
100842,"Male","Loyal Customer",63,"Business travel","Business",3570,1,4,4,4,5,3,3,1,1,1,1,1,1,1,121,94,"neutral"
108150,"Female","Loyal Customer",45,"Personal Travel","Eco",997,2,3,3,2,2,5,4,4,4,3,4,1,4,5,6,12,"dissatisfied"
2458,"Female","disloyal Customer",30,"Business travel","Business",773,3,3,3,1,3,3,1,3,4,2,4,4,4,3,0,29,"dissatisfied"
35582,"Male","Loyal Customer",58,"Business travel","Eco Plus",1080,5,3,3,3,5,5,5,5,5,4,5,5,2,5,4,0,"satisfied"
47850,"Female","disloyal Customer",22,"Business travel","Eco",329,3,0,3,3,5,3,5,5,3,5,4,3,4,5,38,42,"dissatisfied"
45697,"Female","Loyal Customer",40,"Business travel","Eco Plus",896,2,1,1,1,2,2,2,2,2,5,4,3,3,2,8,10,"neutral"
1901,"Male","Loyal Customer",52,"Business travel","Business",383,4,4,4,4,4,5,5,5,5,5,5,5,5,4,0,1,"satisfied"
105558,"Female","Loyal Customer",23,"Business travel","Business",2290,2,5,5,5,2,2,2,2,4,4,3,1,2,2,66,61,"dissatisfied"
84035,"Female","Loyal Customer",34,"Business travel","Business",773,3,3,3,3,2,5,5,5,5,5,5,4,5,4,65,47,"satisfied"
54913,"Male","Loyal Customer",47,"Business travel","Business",862,4,4,4,4,5,4,5,5,5,5,5,4,5,4,3,0,"satisfied"
119088,"Male","Loyal Customer",46,"Business travel","Business",1107,4,4,4,4,4,5,4,5,5,5,5,5,5,5,0,0,"satisfied"
30872,"Male","disloyal Customer",20,"Business travel","Eco",1506,1,1,1,3,1,1,1,1,3,5,3,4,2,1,0,0,"neutral"
19352,"Female","Loyal Customer",42,"Business travel","Business",692,1,1,1,1,5,5,4,4,4,4,4,2,4,5,0,0,"satisfied"
91866,"Male","Loyal Customer",45,"Business travel","Business",1995,2,2,2,2,3,4,5,4,4,4,4,4,4,3,4,0,"satisfied"
26103,"Male","Loyal Customer",64,"Personal Travel","Eco",591,3,5,3,5,1,3,1,1,4,5,4,4,4,1,1,0,"neutral"
86971,"Male","Loyal Customer",41,"Business travel","Eco",907,3,5,5,5,3,3,3,3,3,5,4,4,3,3,5,0,"neutral"
77742,"Male","Loyal Customer",39,"Business travel","Business",1980,1,2,2,2,1,4,1,1,1,1,1,3,1,4,0,0,"neutral"
21767,"Male","Loyal Customer",24,"Business travel","Eco",341,5,1,1,1,5,5,5,5,2,3,2,5,1,5,0,0,"satisfied"
57300,"Male","Loyal Customer",40,"Business travel","Business",1914,4,4,4,4,3,5,5,4,4,4,4,5,4,3,0,0,"satisfied"
80693,"Male","Loyal Customer",61,"Business travel","Eco",748,2,5,5,5,2,2,2,2,4,5,2,3,3,2,0,0,"dissatisfied"
41602,"Male","Loyal Customer",36,"Personal Travel","Eco",1504,4,5,4,5,1,4,1,1,3,5,3,3,5,1,3,8,"dissatisfied"
94257,"Female","Loyal Customer",50,"Business travel","Business",2504,0,4,0,1,5,4,5,5,5,5,5,3,5,4,14,11,"satisfied"
110657,"Male","Loyal Customer",52,"Business travel","Business",3000,2,2,2,2,5,5,4,4,4,4,4,4,4,3,4,0,"satisfied"
74502,"Female","disloyal Customer",20,"Business travel","Business",1438,5,1,5,4,4,5,4,4,3,2,4,5,5,4,0,2,"satisfied"
34635,"Female","disloyal Customer",34,"Business travel","Eco",541,3,2,3,3,4,3,4,4,1,4,4,3,3,4,0,0,"neutral"
4891,"Female","Loyal Customer",47,"Personal Travel","Eco Plus",408,4,5,4,3,4,4,5,4,4,4,4,5,4,3,0,0,"neutral"
109036,"Female","Loyal Customer",61,"Business travel","Business",2642,3,1,1,1,1,3,3,3,3,3,3,2,3,1,9,0,"dissatisfied"
129613,"Female","Loyal Customer",44,"Business travel","Business",2108,1,2,2,2,5,4,3,1,1,1,1,2,1,1,2,0,"neutral"
12636,"Male","Loyal Customer",38,"Business travel","Eco",844,2,5,5,5,2,2,2,2,3,3,3,4,4,2,64,42,"dissatisfied"
111921,"Female","Loyal Customer",36,"Business travel","Business",3773,1,5,5,5,3,4,3,1,1,1,1,2,1,2,0,0,"neutral"
126367,"Male","Loyal Customer",62,"Personal Travel","Eco",328,3,2,3,4,3,3,2,3,4,2,3,4,3,3,0,11,"neutral"
8871,"Female","Loyal Customer",53,"Business travel","Business",3285,3,3,3,3,4,4,4,5,5,4,5,5,5,5,0,0,"satisfied"
116754,"Male","Loyal Customer",48,"Personal Travel","Eco Plus",337,1,4,1,3,3,1,3,3,3,5,4,3,4,3,26,5,"neutral"
56280,"Male","disloyal Customer",43,"Business travel","Eco",1475,2,2,2,3,2,2,2,2,2,1,2,1,3,2,0,0,"neutral"
50121,"Female","Loyal Customer",33,"Business travel","Eco",326,2,4,4,4,2,2,2,2,2,2,3,2,4,2,65,55,"dissatisfied"
15058,"Male","Loyal Customer",18,"Personal Travel","Eco",576,1,5,1,2,2,1,4,2,2,1,3,3,1,2,0,0,"neutral"
72422,"Male","Loyal Customer",39,"Business travel","Business",985,1,1,1,1,3,4,5,4,4,5,4,3,4,3,0,7,"satisfied"
126455,"Male","Loyal Customer",50,"Business travel","Business",1849,4,4,4,4,5,5,5,4,4,4,4,4,4,4,0,0,"satisfied"
111606,"Male","Loyal Customer",43,"Business travel","Business",1878,2,2,4,2,3,4,5,5,5,5,5,5,5,5,26,77,"satisfied"
129559,"Female","Loyal Customer",58,"Personal Travel","Eco",2342,4,0,4,4,4,5,5,3,3,4,3,3,3,4,0,0,"dissatisfied"
104328,"Male","Loyal Customer",42,"Business travel","Business",1959,3,1,1,1,5,3,3,3,3,3,3,4,3,4,70,58,"neutral"
6579,"Female","Loyal Customer",54,"Business travel","Business",607,5,5,5,5,5,4,4,4,4,4,4,3,4,4,2,0,"satisfied"
59878,"Female","Loyal Customer",58,"Business travel","Business",1023,3,3,3,3,2,5,5,4,4,4,4,3,4,3,0,0,"satisfied"
43862,"Female","Loyal Customer",37,"Business travel","Business",2950,0,4,0,2,4,4,4,5,5,5,5,2,5,3,0,0,"satisfied"
