"Timestamp","What is your current year at Duke?","Is this a required course for your major?","What is your major?","How many siblings do you have? (Enter the number, i.e., ""1"" not ""one"")","How many Duke basketball games have you attended?","Have you ever been to the Grand Canyon?","On how many days have you eaten sushi in the last month? (Again enter the number, i.e. ""1"" not ""one"")"
"2025/01/09 4:16:54 PM EST","Second year","Yes","Marine Science and Conservation","1","0","No","1"
"2025/01/09 4:16:54 PM EST","First year","Yes","Neuroscience","2","2","No","2"
"2025/01/09 4:16:55 PM EST","Third year","Yes","Global Health and Biology","1","1","No","2"
"2025/01/09 4:16:56 PM EST","Second year","Yes","Biology","1","3","Yes","0"
"2025/01/09 4:17:01 PM EST","Third year","Yes","neruoscience","0","3","No","1"
"2025/01/09 4:17:06 PM EST","Third year","No","English","1","10 or more","No","1"
"2025/01/09 4:17:06 PM EST","First year","Yes","Neuroscience","1","0","No","0"
"2025/01/09 4:17:08 PM EST","First year","Yes","Biology","1","0","No","0"
"2025/01/09 4:17:10 PM EST","Second year","No","Public Policy","6","10 or more","Yes","3"
"2025/01/09 4:17:12 PM EST","First year","Yes","Biology","2","0","Yes","1"
"2025/01/09 4:17:15 PM EST","First year","Yes","Psychology or Neuroscience (undecided)","2","1","No","0"
"2025/01/09 4:17:16 PM EST","First year","Yes","Biology & AMES","1","10 or more","Yes","0"
"2025/01/09 4:17:18 PM EST","Fourth year","Yes","Program II","2","7","No","0"
"2025/01/09 4:17:19 PM EST","Second year","Yes","Neuroscience","1","5","No","0"
"2025/01/09 4:17:22 PM EST","First year","Yes","Biology","1","4","Yes","0"
"2025/01/09 4:17:22 PM EST","First year","Yes","Neuroscience ","2","1","No","1"
"2025/01/09 4:17:26 PM EST","Third year","Yes","Behavior Science with the track of Psychology","0","0","No","0"
"2025/01/09 4:17:33 PM EST","First year","No","Undeclared","1","2","No","4"
"2025/01/09 4:17:44 PM EST","First year","No","Undecided","3","0","No","0"
"2025/01/09 4:17:48 PM EST","First year","Yes","Global Health and Public Policy","9","0","No","1"
"2025/01/09 4:17:50 PM EST","Third year","Yes","Polisci","1","2","No","4"
"2025/01/09 4:18:26 PM EST","Third year","Yes","Molecular Bioscience with track in Cell and Molecular Biology (in DKU)","1","0","No","1"
"2025/01/09 4:18:28 PM EST","Fourth year","No","Anthropology ","4","0","No","0"
"2025/01/09 4:59:33 PM EST","First year","Yes","Public Policy","0","0","Yes","0"
"2025/01/10 9:12:49 AM EST","Third year","No","Psychology","1","5","No","4"
"2025/01/10 9:14:26 AM EST","Second year","No","Biology","2","0","No","0"
"2025/01/10 10:02:31 AM EST","First year","Yes","Global Health","0","0","Yes","2"
"2025/01/12 6:30:48 PM EST","Third year","Yes","Public Policy","1","2","No","4"
